12,3,10:00,17:00,7.0,6.5
12,4,11:30,17:00,5.5,5.0
12,7,10:00,17:00,7.0,6.5
12,10,10:00,17:00,7.0,6.5
12,14,10:00,17:00,7.0,6.5
12,17,10:00,17:00,7.0,6.5
12,24,10:00,17:00,7.0,6.5
11,2,10:00,17:00,7.0,6.5
11,5,10:00,17:00,7.0,6.5
11,6,11:30,17:00,5.5,5.0
11,9,10:00,17:00,7.0,6.5
11,12,10:00,17:00,7.0,6.5
11,13,11:30,17:00,5.5,5.0
11,16,10:00,17:00,7.0,6.5
11,19,10:00,17:00,7.0,6.5
11,20,11:30,17:00,5.5,5.0
11,23,10:00,17:00,7.0,6.5
11,26,10:00,17:00,7.0,6.5
11,27,11:30,17:00,5.5,5.0
11,30,10:00,17:00,7.0,6.5
10,1,10:00,17:00,7.0,6.5
10,2,11:30,17:00,5.5,5.0
10,5,10:00,17:00,7.0,6.5
10,8,10:00,17:00,7.0,6.5
10,9,11:30,17:00,5.5,5.0
10,12,10:00,17:00,7.0,6.5
10,15,10:00,17:00,7.0,6.5
10,16,11:30,17:00,5.5,5.0
10,19,10:00,17:00,7.0,6.5
10,22,10:00,17:00,7.0,6.5
10,23,11:30,17:00,5.5,5.0
10,26,10:00,17:00,7.0,6.5
10,29,10:00,17:00,7.0,6.5
10,30,11:30,17:00,5.5,5.0
9,2,10:30,17:00,6.5,6.0
9,3,10:30,17:00,6.5,6.0
9,6,10:30,17:00,6.5,6.0
9,7,10:30,17:00,6.5,6.0
9,9,10:30,17:00,6.5,6.0
9,10,10:30,17:00,6.5,6.0
9,14,10:30,17:00,6.5,6.0
9,16,10:30,17:00,6.5,6.0
9,17,10:30,17:00,6.5,6.0
9,18,11:30,17:00,5.5,5.0
9,21,10:00,17:00,7.0,6.5
9,28,10:00,17:00,7.0,6.5
8,3,10:30,17:00,6.5,6.0
8,5,10:30,17:00,6.5,6.0
8,6,10:30,17:00,6.5,6.0
8,8,10:30,17:00,6.5,6.0
8,10,10:30,17:00,6.5,6.0
8,11,10:30,17:00,6.5,6.0
8,12,10:30,17:00,6.5,6.0
8,13,10:30,17:00,6.5,6.0
8,15,10:30,17:00,6.5,6.0
8,16,10:30,17:00,6.5,6.0
8,17,10:30,17:00,6.5,6.0
8,19,10:30,17:00,6.5,6.0
8,20,10:30,17:00,6.5,6.0
8,23,10:30,17:00,6.5,6.0
8,24,10:30,17:00,6.5,6.0
8,25,10:00,17:00,7.0,6.5
8,26,10:30,17:00,6.5,6.0
8,27,10:30,17:00,6.5,6.0
8,30,10:00,17:00,7.0,6.5
8,31,10:30,17:00,6.5,6.0
7,1,10:30,17:00,6.5,6.0
7,2,10:30,17:00,6.5,6.0
7,3,10:30,16:00,5.5,5.0
7,6,10:30,17:00,6.5,6.0
7,8,10:30,17:00,6.5,6.0
7,9,10:30,17:00,6.5,6.0
7,13,10:30,17:00,6.5,6.0
7,15,10:30,17:00,6.5,6.0
7,16,10:30,17:00,6.5,6.0
7,21,10:30,17:00,6.5,6.0
7,22,10:30,17:00,6.5,6.0
7,23,10:30,17:00,6.5,6.0
7,27,10:30,17:00,6.5,6.0
7,29,10:30,17:00,6.5,6.0
7,30,10:30,17:00,6.5,6.0
6,24,10:30,17:00,6.5,6.0
6,25,10:30,17:00,6.5,6.0
6,29,10:30,17:00,6.5,6.0
